"search-number","evaluation","number-people*","infectiousness*","duration*","chance-recover*","fitness","num-replicates","best-fitness-so-far"
"3","280","150","58","90","21","52.41767518383655","10","64.65507643595332"
"3","290","150","6","20","38","0.157360938216134","10","64.65507643595332"
"3","300","150","10","17","1","0.1313401793095389","10","64.65507643595332"
"4","10","150","2","44","82","0.2720265922691746","10","0.2720265922691746"
"4","20","150","56","30","28","28.65386449014455","10","28.65386449014455"
"4","30","150","71","84","29","54.078567786873656","10","54.078567786873656"
"4","40","150","35","58","40","47.81240500967671","10","54.078567786873656"
"4","50","150","65","56","32","45.20604694203824","10","54.078567786873656"
"4","60","150","52","39","11","15.818949594913258","10","54.078567786873656"
"4","70","150","38","82","37","56.27768030674897","10","56.27768030674897"
"4","80","150","87","51","49","48.93039327279682","10","56.27768030674897"
"4","90","150","55","76","84","56.05229302107326","10","56.27768030674897"
"4","100","150","12","26","64","0.259300997138984","10","56.27768030674897"
"4","110","150","93","14","14","4.108938577243018","10","56.27768030674897"
"4","120","150","95","88","7","22.767917778497512","10","56.27768030674897"
"4","130","150","6","67","18","1.5414501615532734","10","56.27768030674897"
"4","140","150","32","35","5","16.556205763532347","10","56.27768030674897"
"4","150","150","99","32","65","39.359918006298685","10","56.27768030674897"
"4","160","150","75","71","0","96.66929235324973","10","96.66929235324973"
"4","170","150","61","89","25","53.53463556660233","10","96.66929235324973"
"4","180","150","28","56","21","40.78409112764898","10","96.66929235324973"
"4","190","150","26","25","40","14.042616728845093","10","96.66929235324973"
"4","200","150","64","13","35","5.827767150112283","10","96.66929235324973"
"4","210","150","25","46","96","29.19543918046562","10","96.66929235324973"
"4","220","150","14","81","3","38.57863203955314","10","96.66929235324973"
"4","230","150","77","25","13","4.303784103280526","10","96.66929235324973"
"4","240","150","54","79","16","49.06562499788388","10","96.66929235324973"
"4","250","150","20","26","98","1.2043278996676245","10","96.66929235324973"
"4","260","150","14","61","44","32.98581190722752","10","96.66929235324973"
"4","270","150","96","19","14","4.683429316842572","10","96.66929235324973"
"4","280","150","94","78","70","61.5839223648828","10","96.66929235324973"
"4","290","150","90","7","8","0.13809298716850907","10","96.66929235324973"
"4","300","150","57","37","44","38.25411670021614","10","96.66929235324973"
